Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R36        CR1608-0603           3180mil       3020mil       3180mil       3020mil       3180mil   3053.465mil  T        270.00 Res3           
R35        CR1608-0603           3200mil       2720mil       3200mil       2720mil       3200mil   2753.465mil  T        270.00 Res3           
R34        CR1608-0603           2000mil       3660mil       2000mil       3660mil       2000mil   3693.465mil  T        270.00 Res3           
R33        CR1608-0603           2140mil       3840mil       2140mil       3840mil       2140mil   3806.535mil  T         90.00 Res3           
C1         CC1608-0603           2080mil       3840mil       2080mil       3840mil       2080mil   3806.535mil  T         90.00 Cap            
R32        CR1608-0603           3125mil       2790mil       3125mil       2790mil       3125mil   2823.465mil  T        270.00 Res3           
U3         UCB/Epic_Quanto_Header       2195mil       3900mil       1445mil       4350mil       1495mil       4300mil  T          0.00 Epic Mote Compact
Y1         ECS_2025/2033     1724.567mil   3824.409mil       1760mil       3850mil       1760mil       3850mil  T        180.00 ECS-2025/2033  
U9         TSSOP50P480X107_HS-10N       3295mil       2900mil       3295mil       2900mil    3334.37mil   2979.724mil  T        270.00 TI/TPA0233     
U8         SOIC127P600X175-16N       2840mil       2860mil       2840mil       2860mil       2665mil   2765.512mil  T         90.00 AD/AD5242 10k  
U7         SOIC127P600X175-16N       2240mil       3600mil       2240mil       3600mil       2065mil   3505.512mil  T         90.00 AD/AD5242 1M   
U6         MSOP127P600-8N        1920mil       2760mil       1920mil       2760mil    1841.26mil    2799.37mil  T        360.00 AD/SSM2167     
U5         SparkFun/Breakout_WRL-084       3490mil       4190mil       3940mil       4640mil       3890mil       3790mil  T        180.00 SparkFun/Breakout_WRL-08461 BOTTOM MOUNT!
U4         MSOP10              2005.5mil     2999.4mil       2100mil       2960mil       2100mil       2960mil  T        180.00 NS/LMV982      
U2         Sensirion/SHT11   1586.063mil       4505mil       1690mil       4580mil       1690mil       4430mil  T        180.00 SHT11          
U1         SOIC127P600X175-8N       2375mil       3940mil       2375mil       3940mil   2279.528mil       4015mil  T        360.00 Microchip/MCP6042
R19        CR1608-0603           3075mil       2915mil       3075mil       2915mil       3075mil   2948.464mil  T        270.00 Res3           
R17        CR1608-0603           2580mil       3100mil       2580mil       3100mil   2613.464mil       3100mil  T        180.00 Res3           
R15        CR1608-0603           1920mil       3100mil       1920mil       3100mil   1953.464mil       3100mil  T        180.00 Res3           
R16        CR1608-0603           2260mil       2780mil       2260mil       2780mil   2293.464mil       2780mil  T        180.00 Res3           
R13        CR1608-0603           2565mil       2810mil       2565mil       2810mil       2565mil   2843.464mil  T        270.00 Res3           
R12        CR1608-0603           2460mil       2990mil       2460mil       2990mil   2426.536mil       2990mil  T        360.00 Res3           
R11        CR1608-0603           1680mil       2710mil       1680mil       2710mil       1680mil   2743.464mil  T        270.00 Res3           
R10        CR1608-0603       1500.001mil       2980mil       1500mil       2980mil   1533.466mil       2980mil  T        180.00 Res3           
R9         CR1608-0603           2200mil       4140mil       2200mil       4140mil   2233.464mil       4140mil  T        180.00 Res3           
R8         CR1608-0603           2120mil       4000mil       2120mil       4000mil       2120mil   3966.536mil  T         90.00 Res3           
R7         CR1608-0603           2120mil       2780mil       2120mil       2780mil   2086.536mil       2780mil  T        360.00 Res3           
R6         CR1608-0603           2180mil       4000mil       2180mil       4000mil       2180mil   4033.464mil  T        270.00 Res3           
R23        CR1608-0603           2560mil       3780mil       2560mil       3780mil   2593.464mil       3780mil  T        180.00 Res3           
R22        CR1608-0603           2560mil       3720mil       2560mil       3720mil   2526.536mil       3720mil  T        360.00 Res3           
R2         CR1608-0603           1640mil       4335mil       1640mil       4335mil   1606.536mil       4335mil  T          0.00 Res3           
